"","donorURI","time","amount","comment","run"
"13619",NA,2016-07-08 13:01:15,25,"Yes","Super Mario Bros. 3 100%"
"13620","/tracker/donor/323250/18",2016-07-08 13:01:01,5,"Yes","Super Mario Bros. 3 100%"
"13621","/tracker/donor/311730/18",2016-07-08 13:00:18,10,"Yes","Super Mario Bros. 3 100%"
"13622","/tracker/donor/291414/18",2016-07-08 12:59:55,10,"Yes","Super Mario Bros. 3 100%"
"13623","/tracker/donor/317643/18",2016-07-08 12:59:37,10,"Yes","Super Mario Bros. 3 100%"
"13624",NA,2016-07-08 12:59:29,50,"No","Super Mario Bros. 3 100%"
"13625","/tracker/donor/34288/18",2016-07-08 12:59:21,5,"Yes","Super Mario Bros. 3 100%"
"13626",NA,2016-07-08 12:59:08,20,"No","Super Mario Bros. 3 100%"
"13627","/tracker/donor/323249/18",2016-07-08 12:58:59,50,"Yes","Super Mario Bros. 3 100%"
"13628",NA,2016-07-08 12:58:56,10,"Yes","Super Mario Bros. 3 100%"
"13629",NA,2016-07-08 12:58:05,25,"No","Super Mario Bros. 3 100%"
"13630",NA,2016-07-08 12:57:45,5,"Yes","Super Mario Bros. 3 100%"
"13631","/tracker/donor/300274/18",2016-07-08 12:57:41,50,"Yes","Super Mario Bros. 3 100%"
"13632","/tracker/donor/290461/18",2016-07-08 12:57:20,25,"No","Super Mario Bros. 3 100%"
"13633","/tracker/donor/306993/18",2016-07-08 12:56:10,10,"Yes","Super Mario Bros. 3 100%"
"13634","/tracker/donor/21564/18",2016-07-08 12:56:08,10,"Yes","Super Mario Bros. 3 100%"
"13635","/tracker/donor/261475/18",2016-07-08 12:54:38,20,"No","Super Mario Bros. 3 100%"
"13636","/tracker/donor/45047/18",2016-07-08 12:54:28,124,"Yes","Super Mario Bros. 3 100%"
"13637","/tracker/donor/40244/18",2016-07-08 12:53:37,10,"Yes","Super Mario Bros. 3 100%"
"13638","/tracker/donor/43800/18",2016-07-08 12:52:51,25,"Yes","Super Mario Bros. 3 100%"
"13639","/tracker/donor/323246/18",2016-07-08 12:52:30,10,"Yes","Super Mario Bros. 3 100%"
"13640","/tracker/donor/39629/18",2016-07-08 12:51:23,40,"Yes","Super Mario Bros. 3 100%"
"13641",NA,2016-07-08 12:51:17,50,"Yes","Super Mario Bros. 3 100%"
"13642",NA,2016-07-08 12:50:21,25.25,"Yes","Super Mario Bros. 3 100%"
"13643","/tracker/donor/293802/18",2016-07-08 12:50:05,5,"Yes","Super Mario Bros. 3 100%"
"13644",NA,2016-07-08 12:49:44,5,"Yes","Super Mario Bros. 3 100%"
"13645","/tracker/donor/34806/18",2016-07-08 12:49:31,7,"Yes","Super Mario Bros. 3 100%"
"13646","/tracker/donor/297706/18",2016-07-08 12:48:44,100,"Yes","Super Mario Bros. 3 100%"
"13647","/tracker/donor/323244/18",2016-07-08 12:48:41,6.66,"Yes","Super Mario Bros. 3 100%"
"13648",NA,2016-07-08 12:48:14,5,"No","Super Mario Bros. 3 100%"
"13649","/tracker/donor/258022/18",2016-07-08 12:47:53,10,"No","Super Mario Bros. 3 100%"
"13650","/tracker/donor/323243/18",2016-07-08 12:47:40,10,"No","Super Mario Bros. 3 100%"
"13651",NA,2016-07-08 11:47:50,10,"No","Super Mario Bros. 3 100%"
"13652","/tracker/donor/323187/18",2016-07-08 11:47:36,5,"Yes","Super Mario Bros. 3 100%"
"13653","/tracker/donor/323185/18",2016-07-08 11:47:01,50,"Yes","Super Mario Bros. 3 100%"
"13654","/tracker/donor/17644/18",2016-07-08 11:46:59,10,"No","Super Mario Bros. 3 100%"
"13655","/tracker/donor/323184/18",2016-07-08 11:46:21,50,"Yes","Super Mario Bros. 3 100%"
"13656","/tracker/donor/33869/18",2016-07-08 11:46:19,51.27,"Yes","Super Mario Bros. 3 100%"
"13657",NA,2016-07-08 11:46:14,10,"Yes","Super Mario Bros. 3 100%"
"13658","/tracker/donor/323182/18",2016-07-08 11:46:10,25,"Yes","Super Mario Bros. 3 100%"
