"","time","amount","comment","donorURI","run"
"321",2017-01-16 07:25:27,20,"Yes",NA,"NA"
"322",2017-01-16 07:13:28,5,"No","/tracker/donor/321733/19","NA"
"323",2017-01-16 07:11:06,22,"No","/tracker/donor/321733/19","NA"
"324",2017-01-16 06:44:08,10,"No","/tracker/donor/348094/19","NA"
"325",2017-01-16 06:00:25,50,"No","/tracker/donor/264749/19","NA"
"326",2017-01-16 03:06:05,20,"Yes","/tracker/donor/26509/19","NA"
"327",2017-01-16 03:04:10,20,"No",NA,"NA"
"328",2017-01-16 01:27:20,5,"Yes","/tracker/donor/348092/19","NA"
"329",2017-01-16 00:27:50,100,"Yes","/tracker/donor/293665/19","NA"
"330",2017-01-15 22:23:32,5,"Yes",NA,"NA"
"331",2017-01-15 21:42:45,10,"Yes","/tracker/donor/348091/19","NA"
"332",2017-01-15 20:01:13,15,"No",NA,"NA"
"333",2017-01-15 19:05:41,100,"Yes","/tracker/donor/264631/19","NA"
"334",2017-01-15 18:58:37,100,"No",NA,"NA"
"335",2017-01-15 18:51:15,50,"No",NA,"NA"
"336",2017-01-15 18:05:40,5,"No","/tracker/donor/259842/19","NA"
"337",2017-01-15 18:03:44,5,"No",NA,"NA"
"338",2017-01-15 17:39:48,5,"No",NA,"NA"
"339",2017-01-15 17:37:27,15,"No",NA,"NA"
"340",2017-01-15 16:52:25,5,"Yes","/tracker/donor/348086/19","NA"
"341",2017-01-15 16:17:12,150,"No",NA,"NA"
"342",2017-01-15 16:10:54,50,"Yes","/tracker/donor/348085/19","NA"
"343",2017-01-15 15:50:19,75,"No","/tracker/donor/348084/19","NA"
"344",2017-01-15 15:35:21,5,"No",NA,"NA"
"345",2017-01-15 14:45:56,20,"No",NA,"NA"
"346",2017-01-15 14:33:31,100,"No",NA,"NA"
"347",2017-01-15 14:05:38,15,"No",NA,"NA"
"348",2017-01-15 14:00:43,5,"No",NA,"NA"
"349",2017-01-15 13:38:49,5,"No",NA,"NA"
"350",2017-01-15 13:18:58,50,"Yes","/tracker/donor/348081/19","NA"
"351",2017-01-15 00:03:46,50,"No",NA,"Undertale True Pacifist Ending"
